Year,"Average population
(x 1000)",Live births1,Deaths1,Natural change,"Crude birth rate
(per 1000)","Crude death rate
(per 1000)","Natural change
(per 1000)",Total fertility rate
2015,1259108,26189446,8184202,18005244,20.80,6.50,14.30,
2014,1233542,25904377,8264730,17639647,21.00,6.70,14.30,2.30
2013,1227012,26258057,8589084,17668973,21.40,7.00,14.40,2.30
2012,1212827,26197063,8489789,17707274,21.60,7.00,14.60,2.40
2011,1197658,26108944,8503372,17605572,21.80,7.10,14.70,2.44
2010,1182108,26124587,8511178,17613409,22.10,7.20,14.90,2.50
2009,1166228,26240130,8513464,17726666,22.50,7.30,15.20,2.60
2008,1150196,26224469,8511450,17713019,22.80,7.40,15.40,2.60
2007,1134024,26195954,8391778,17804176,23.10,7.40,15.70,NaN
2006,1157039,27190000,8678000,18512000,23.50,7.50,16.00,NaN
2005,1140043,27133000,8664000,18469000,23.80,7.60,16.20,2.90
2004,1122991,27064000,8422000,18642000,24.10,7.50,16.60,NaN
2003,1105886,27426000,8847000,18579000,24.80,8.00,16.80,NaN
2002,1088694,27217000,8818000,18399000,25.00,8.10,16.90,NaN
2001,1071374,27213000,9000000,18213000,25.40,8.40,17.00,NaN
2000,1053898,27191000,8958000,18233000,25.80,8.50,17.30,3.20
1999,1036259,26943000,9015000,17928000,26.00,8.70,17.30,NaN
1998,1018471,26989000,9166000,17823000,26.50,9.00,17.50,NaN
1997,1000558,27215000,8905000,18310000,27.20,8.90,18.30,NaN
1996,982553,26824000,8745000,18079000,27.30,8.90,18.40,NaN
1995,964486,27295000,8680000,18615000,28.30,9.00,19.30,3.50
1994,946373,27161000,8801000,18360000,28.70,9.30,19.40,NaN
1993,928226,26640000,8633000,18007000,28.70,9.30,19.40,NaN
1992,910065,26392000,9192000,17200000,29.00,10.10,18.90,NaN
1991,891910,26133000,8741000,17392000,29.30,9.80,19.50,NaN
1990,873785,26388000,8476000,17912000,30.20,9.70,20.50,3.80
1989,855707,26185000,8814000,17371000,30.60,10.30,20.30,NaN
1988,837700,26388000,9215000,17173000,31.50,11.00,20.50,NaN
1987,819800,26316000,8936000,17380000,32.10,10.90,21.20,NaN
1986,802052,26147000,8903000,17244000,32.60,11.10,21.50,NaN
1985,784491,25810000,9257000,16553000,32.90,11.80,21.10,NaN
1984,767147,26006000,9666000,16340000,33.90,12.60,21.30,NaN
1983,750034,25276000,8925000,16351000,33.70,11.90,21.80,NaN
1982,733152,24781000,8725000,16056000,33.80,11.90,21.90,NaN
1981,716493,24289000,8956000,15333000,33.90,12.50,21.40,NaN
